STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2006-09,,-1.7,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2006-10,,-3.0,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2006-11,,1.7,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2006-12,,-1.1,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-01,,-3.2,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-02,,-2.2,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-03,,3.2,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-04,,-0.4,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-05,,-0.4,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-06,,2.5,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-07,,2.6,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-08,,-0.8,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-09,,3.6,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-10,,1.0,,,,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,VOL_SLS,Volume of sales,G47,"Retail trade, except of motor vehicles and motorcycles",SCA,Seasonally and calendar adjusted data,PCH_PRE,Percentage change on previous period,AL,Albania,2007-11,,0.0,,,,,
