STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop18,Classification of individual consumption by purpose (COICOP) - 2018,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2018-12,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-01,,2.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-02,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-03,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-04,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-05,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-06,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-07,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-08,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-09,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-10,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-11,,1.8,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2019-12,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2020-01,,1.6,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2020-02,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2020-03,,2.6,,,,,
dataflow,ESTAT:PRC_HICP_MINR(1.0),"Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data",M,Monthly,RCH_A,Annual rate of change,TOTAL,Total,AL,Albania,2020-04,,2.3,,,,,
